,key,datetime,author,caption,hashtags,location,address,x,y,address_unit
655,https://www.instagram.com/p/CIFw1yoBaDe/,2020-11-27T09:59:36.000Z,zero_jjuu,"주영 in jeju💓
.
.
.
.
#제주도 #제주도여행 #제주 #제주도감성카페 #제주맛집 #제주카페 #제주여행 #제주가볼만한곳 #제주도카페 #우드노트 #카페스타그램 #카페추천 #여행 #여행스타그램 #여행지추천 #국내여행 #오오티디 #ootd #감성사진 #selfie #소통 #dm #ulzzang #ulzzangkorea #얼스타그램 #얼스타 #얼짱 #셀스타그램 #셀피 #좋아요반사","['제주도', '제주도여행', '제주', '제주도감성카페', '제주맛집', '제주카페', '제주여행', '제주가볼만한곳', '제주도카페', '우드노트', '카페스타그램', '카페추천', '여행', '여행스타그램', '여행지추천', '국내여행', '오오티디', 'ootd', '감성사진', 'selfie', '소통', 'dm', 'ulzzang', 'ulzzangkorea', '얼스타그램', '얼스타', '얼짱', '셀스타그램', '셀피', '좋아요반사']",우드노트,제주특별자치도 서귀포시 남원읍 남원리 2406-3,126.698573243357,33.2726237344419,남원읍
708,https://www.instagram.com/p/CIKzjyOlWrf/,2020-11-29T08:59:34.000Z,heevely0819,"잘있었니?
두달만에 방문한 #바램목장
추운날씨지만 항상 여유로운 이곳
당근 잘 먹는 너희 모습에 내 지갑은 자꾸 열리네......

#제주바램목장 #제주양떼목장 #제주도 #제주 #제주도여행 #제주카페 #제주가볼만한곳 #제주핫플레이스 #제주도여행코스 #서귀포카페 #안덕면맛집 #힐링여행 #여행에미치다_제주 #또올게 🐑","['바램목장', '제주바램목장', '제주양떼목장', '제주도', '제주', '제주도여행', '제주카페', '제주가볼만한곳', '제주핫플레이스', '제주도여행코스', '서귀포카페', '안덕면맛집', '힐링여행', '여행에미치다_제주', '또올게']",바램목장&카페,제주특별자치도 서귀포시 안덕면 동광리 259-3,126.35259355146505,33.31110694796215,안덕면
716,https://www.instagram.com/p/CIKzFStjoUI/,2020-11-29T08:55:24.000Z,ma_rie_0,"PLAYLIST💙

친한언니와 카페투어 ꪔ̤̮

추워도 카페는 아이스인 우리는 역시 아이스로〰️

음료는 헤이즐넛 라떼🤎(🙋🏻‍♀️)와 밀크티🤎(언니)
디저트는 오레오티라미수🖤

인테리어 너무 예쁜데 음료랑 디저트도 맛있어서 또 방문 할 예정이랍니당(◍•ڡ•◍)⭐

@jeju_playlist
#언니랑 #카페
#카페스타그램 #커피 #밀크티 #디저트 #cafe #coffee
#일상 #소통 #선팔 #맞팔 #선팔하면맞팔 #좋반 #셀피 #데일리 #먹스타그램 #맛집 #daily #ootd #motd #foodie #selfie #f4f #사진 #감성 #photo #제주 #jeju #tbt","['언니랑', '카페', '카페스타그램', '커피', '밀크티', '디저트', 'cafe', 'coffee', '일상', '소통', '선팔', '맞팔', '선팔하면맞팔', '좋반', '셀피', '데일리', '먹스타그램', '맛집', 'daily', 'ootd', 'motd', 'foodie', 'selfie', 'f4f', '사진', '감성', 'photo', '제주', 'jeju', 'tbt']",제주플레이리스트,제주특별자치도 제주시 아라이동 3012-18,126.541311860559,33.4931600632963,아라2동
727,https://www.instagram.com/p/CIKyeyiJTTQ/,2020-11-29T08:50:08.000Z,coffeevo23,"〔 Marone Dessert 〕

マカロン2種類と
抹茶チョコレートスコーン☕️

10人くらいが座れるような小さなお店だったけど
デザートの種類も多くて良かった🧁

マカロン目当てで行ったけど
美味しかった💓

📍제주 제주시 고마로5길 9-1

#maronedessert #마로네디저트 #제주도카페 #제주카페 #チェジュ島カフェ #済州島カフェ #제주여행 #제주도여행 #済州島旅行 #チェジュ島旅行 #チェジュ島 #済州島 #제주도 #제주 #済州 #チェジュ #카페추천 #카페스타그램 #韓国カフェ #韓国カフェ巡り #韓国カフェ情報 ##국내여행 #カフェ巡り #カフェスタグラム #カフェ部 #韓国 #한국 #🇰🇷","['maronedessert', '마로네디저트', '제주도카페', '제주카페', 'チェジュ島カフェ', '済州島カフェ', '제주여행', '제주도여행', '済州島旅行', 'チェジュ島旅行', 'チェジュ島', '済州島', '제주도', '제주', '済州', 'チェジュ', '카페추천', '카페스타그램', '韓国カフェ', '韓国カフェ巡り', '韓国カフェ情報', '국내여행', 'カフェ巡り', 'カフェスタグラム', 'カフェ部', '韓国', '한국']",Marone Dessert,제주특별자치도 제주시 일도2동 149-21,126.539523829284,33.5121697319158,일도2동
739,https://www.instagram.com/p/CIK6ACNDIwy/,2020-11-29T09:55:51.000Z,j.hahaha_s,벌써 크리스마스 :) #제주#소인카페#바닐라빈라떼#그린티라떼#시간이너무빨라#12월이다가온다#카페스타그램,"['제주', '소인카페', '바닐라빈라떼', '그린티라떼', '시간이너무빨라', '12월이다가온다', '카페스타그램']",Soin Coffee,제주특별자치도 제주시 노형동 938-6,126.48436568892224,33.48421779580362,노형동
759,https://www.instagram.com/p/CILBK6tnpPj/,2020-11-29T10:58:30.000Z,yuvuvuv_v,"사고뭉치 ., 유디니 #1일1사고 #애들아고맙고미안하고사랑한다
.
.
.
#제주#제주도여행#jeju#애월#서귀포#제주도카페#애월카페","['1일1사고', '애들아고맙고미안하고사랑한다', '제주', '제주도여행', 'jeju', '애월', '서귀포', '제주도카페', '애월카페']",제주 애월읍,제주특별자치도 제주시 애월읍 광령리,126.439341083568,33.4608856490895,애월읍
775,https://www.instagram.com/p/CILINoalEIV/,2020-11-29T12:00:02.000Z,gamgulbat,"돌멩이라떼
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#제주도#제주#제주도여행#제주여행#제주도민#제주도맛집#제주맛집#제주도민맛집#제주맛집추천#제주카페#제주도가볼만한곳#제주가볼만한곳#제주도민#좋아요#좋아요반사#좋아요테러#인친#인친환영#인친해요#맞팔#선팔#맞팔선팔#맞팔환영#맞팔해요#follw#팔로우#돌멩이라떼","['제주도', '제주', '제주도여행', '제주여행', '제주도민', '제주도맛집', '제주맛집', '제주도민맛집', '제주맛집추천', '제주카페', '제주도가볼만한곳', '제주가볼만한곳', '제주도민', '좋아요', '좋아요반사', '좋아요테러', '인친', '인친환영', '인친해요', '맞팔', '선팔', '맞팔선팔', '맞팔환영', '맞팔해요', 'follw', '팔로우', '돌멩이라떼']",그럼외도,제주특별자치도 제주시 외도이동 314-2,126.43399937343,33.4943031648662,외도2동
810,https://www.instagram.com/p/CILO-6wH3jl/,2020-11-29T12:59:12.000Z,ha.rang__,"나도 #핫플 인 #와랑와랑 #카페
방문했다개🐶
#제주#위미리#당근주스 내 최애라개🐶","['핫플', '와랑와랑', '카페', '제주', '위미리', '당근주스']",와랑와랑,제주특별자치도 서귀포시 남원읍 위미리 875-1,126.67655338473118,33.272294301337155,남원읍
812,https://www.instagram.com/p/CILO1O6FRbR/,2020-11-29T12:57:52.000Z,min_story__,☺️❤️ #카페 #카페스타그램 #제주도 #제주 #제주도여행 #제주카페 #인그리드 #여행 #여행스타그램 #데일리 #데일리그램 #일상 #일상스타그램 #일상소통 #일상기록 #일상그램 #daily #cafe #cafestagram #instagood #instagram #instadaily,"['카페', '카페스타그램', '제주도', '제주', '제주도여행', '제주카페', '인그리드', '여행', '여행스타그램', '데일리', '데일리그램', '일상', '일상스타그램', '일상소통', '일상기록', '일상그램', 'daily', 'cafe', 'cafestagram', 'instagood', 'instagram', 'instadaily']",인그리드,제주특별자치도 제주시 이호일동 371-1,126.45668314517829,33.50255325983955,이호1동
816,https://www.instagram.com/p/CILOwZoDCva/,2020-11-29T12:57:13.000Z,0507o_o,#제주 #20 #01 #insta #instagram #daily #인스타 #데일리 #일상 #소통 #사진 #피드 #좋아요 #좋아요반사 #좋반테러 #팔로우 #선팔하면맞팔 #맞팔 #팔로미 #followme #followfollow #fff #likeforlikeback #첫줄반사 #셀스타 #셀카그램 #럽스타그램 #다렉 #카페,"['제주', '20', '01', 'insta', 'instagram', 'daily', '인스타', '데일리', '일상', '소통', '사진', '피드', '좋아요', '좋아요반사', '좋반테러', '팔로우', '선팔하면맞팔', '맞팔', '팔로미', 'followme', 'followfollow', 'fff', 'likeforlikeback', '첫줄반사', '셀스타', '셀카그램', '럽스타그램', '다렉', '카페']",슬로보트,제주특별자치도 제주시 애월읍 하귀1리 330,126.4143678073485,33.49010070168095,애월읍
821,https://www.instagram.com/p/CILOlszB_Oe/,2020-11-29T12:55:45.000Z,jandi_visiting,"#잔디공장방문자 가 되어 주셔서 감사합니다 🌱
.
.
.
#제주도 #성산카페 #잔디공장 #성산
#제주 #서귀포 #서귀포카페
.
.
.
#표선맛집 #성산일출봉맛집 #빛의벙커 #아쿠아플라넷제주 #드르쿰다 #드르쿰다in성산 #신산리 #신산리카페 #제주스냅 #제주동백 #카멜리아힐 #상효원 #휴애리","['잔디공장방문자', '제주도', '성산카페', '잔디공장', '성산', '제주', '서귀포', '서귀포카페', '표선맛집', '성산일출봉맛집', '빛의벙커', '아쿠아플라넷제주', '드르쿰다', '드르쿰다in성산', '신산리', '신산리카페', '제주스냅', '제주동백', '카멜리아힐', '상효원', '휴애리']",잔디공장,제주특별자치도 서귀포시 성산읍 신산리 1073-9,126.873289850307,33.3774305792331,성산읍
842,https://www.instagram.com/p/CILVVBQMZCb/,2020-11-29T13:54:38.000Z,tto__raming,"바다가 아주 멋있는 모습으로 펼쳐질것같은 곳, 그러므로 다음엔 낮에🌞
.
.
.
#일상#데일리#일기#제주라이프#제주#카페#daily#today
#diary#journal#Jeju#cafe#coffee#xoxo#☕️","['일상', '데일리', '일기', '제주라이프', '제주', '카페', 'daily', 'today', 'diary', 'journal', 'Jeju', 'cafe', 'coffee', 'xoxo']",울트라마린,제주특별자치도 제주시 한경면 판포리 1611,126.206069756519,33.3694603786212,한경면
868,https://www.instagram.com/p/CILcabJhen7/,2020-11-29T14:56:33.000Z,jandi_visiting,"녹색카페, 식물카페를 지향하고 녹색을 좋아해
녹색메뉴만 연구학고 만드는 🥒🥦🥬🍏잔디공장

#잔디공장방문자 가 되어 주셔서 감사합니다🌱
#제주도 #성산카페 #잔디공장
.
✅서귀포시 성산읍 일주동로5154번길 5
✅OPEN 11:00 ~ 19:00
✅YES 애견동반가능한집 🐶 YES 키드존 👶🏻
.
🌱메뉴선택 실패1도 없는 맛있는 카페 🌱 #jmt
🤩잔디우유 6.5
😋잔디스무디 8.5
😝새콤하다에이드 6.5
🥰잔디잼토스트 4.5
.
‼️표선에서 성산가는 길 성산에서 표선가는 길
🚗🚕🚙🚌🚎 🚗🏎🛴🚚🚒🚛🚛
.
#제주 #서귀포 #식물카페 #동백꽃 #성산일출봉 #제주카페 #서귀포카페 #제주동쪽카페 #제주카페투어 #제주카페추천 #제주카페탐방 #제주도게스트하우스 #아쿠아플라넷제주 #해비치호텔 #플레이스캠프제주 #빛의벙커 #드르쿰다","['잔디공장방문자', '제주도', '성산카페', '잔디공장', 'jmt', '제주', '서귀포', '식물카페', '동백꽃', '성산일출봉', '제주카페', '서귀포카페', '제주동쪽카페', '제주카페투어', '제주카페추천', '제주카페탐방', '제주도게스트하우스', '아쿠아플라넷제주', '해비치호텔', '플레이스캠프제주', '빛의벙커', '드르쿰다']",잔디공장,제주특별자치도 서귀포시 성산읍 신산리 1073-9,126.873289850307,33.3774305792331,성산읍
874,https://www.instagram.com/p/CILb6FXL7Dc/,2020-11-29T14:52:08.000Z,mozza_rang,"🧚🧚🏻‍♂️
#제주#제주카페#베케","['제주', '제주카페', '베케']",베케,제주특별자치도 서귀포시 신효동 1137-1,126.60492258733058,33.26190881355424,신효동
885,https://www.instagram.com/p/CILbWX8ncxb/,2020-11-29T14:47:15.000Z,suankiki,"텐저린 라떼가 맛있다는데 커피를 못마시니 뭐 맨날 초코라떼만 마시는거지 뭐 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ

#제주 #제주도 #제주여행 #제주도여행 #공백 #제주카페 #제주카페추천 #구좌읍카페 #제주솬 #제주갈만한곳","['제주', '제주도', '제주여행', '제주도여행', '공백', '제주카페', '제주카페추천', '구좌읍카페', '제주솬', '제주갈만한곳']",Gongbech.공백,제주특별자치도 제주시 구좌읍 동복리 1568-1,126.715093661443,33.5533924123546,구좌읍
891,https://www.instagram.com/p/CILbB9vlS-n/,2020-11-29T14:44:28.000Z,awake_u,"네, 폭풍업뎃 시작하겠슴다🤭
.
.
#원앤온리제주 #카페스타그램 #selfie #제주","['원앤온리제주', '카페스타그램', 'selfie', '제주']",One and only - 원앤온리 제주,제주특별자치도 서귀포시 안덕면 사계리 86,126.319192490757,33.2392223486155,안덕면
919,https://www.instagram.com/p/CILp3c7DgeK/,2020-11-29T16:54:06.000Z,seowoo_oddo,"졸리면 자자,,,z

#제주 #제주애견동반카페 #아기푸들","['제주', '제주애견동반카페', '아기푸들']",앤트러사이트 제주 한림점,제주특별자치도 제주시 한림읍 동명리 1715,126.258149647652,33.4077717708008,한림읍
922,https://www.instagram.com/p/CILohYoHbQJ/,2020-11-29T16:42:21.000Z,cafe_tour._.o,"오온
커피를 좋아해 찾아다니던 카페였는데 우연히 발견한 찻집.
다양한 차 종류와 먹어보지 못했던 이색 차들로 가득한 곳이였다.
커피를 많이 마시는 요즘 차한잔은 힐링되는 느낌이였다 .
친절히 설명해주시고 또란 직접 차를 내려주셔서 재방문 하고 싶은곳이다.
.
.
.
.
#오온 #제주카페 #카페 #카페투어 #아라동카페 #차카페 #제주 #커피 #전통차 #제주살이 #제주도여행 #카페추천 #카페인테리어 #카페탐방 #팔로우 #팔로우환영 #팔로우미 #fff #ff #followｍe #선팔환영 #커피맛집 #선팔맞팔 #카페맞팔 #카페맞팔환영 #제주카페추천 #제주살이 #제주대카페 #사진맛집 #향토카페 #이색카페","['오온', '제주카페', '카페', '카페투어', '아라동카페', '차카페', '제주', '커피', '전통차', '제주살이', '제주도여행', '카페추천', '카페인테리어', '카페탐방', '팔로우', '팔로우환영', '팔로우미', 'fff', 'ff', 'followｍe', '선팔환영', '커피맛집', '선팔맞팔', '카페맞팔', '카페맞팔환영', '제주카페추천', '제주살이', '제주대카페', '사진맛집', '향토카페', '이색카페']",오온,제주특별자치도 제주시 이도이동 1965-15,126.54359451631342,33.49289440708202,이도2동
931,https://www.instagram.com/p/CILmbuejxUP/,2020-11-29T16:24:06.000Z,3.15th__s,"대충살자
#헤어라인 #비밀
.
.
.

#제주도#제주여행#셀카#셀피#셀카그램#인스타그램#일상#데일리#오오티디#애월#애월카페#제주맛집#인스타그램#인스타데일리#selca#selfie#selcagram#instagram#instadaily😉","['헤어라인', '비밀', '제주도', '제주여행', '셀카', '셀피', '셀카그램', '인스타그램', '일상', '데일리', '오오티디', '애월', '애월카페', '제주맛집', '인스타그램', '인스타데일리', 'selca', 'selfie', 'selcagram', 'instagram', 'instadaily']",봄날,제주특별자치도 제주시 일도1동 1425-3,126.524677826742,33.513278603906,일도1동
934,https://www.instagram.com/p/CIKjl3hD6I8/,2020-11-29T06:40:02.000Z,___92.12.30,"안녕👋 동백이🌺
.
.
.
#jeju #제주 #제주도민 #일상 #소통 #좋아요 #맞팔 #선팔하면맞팔 #제주여행추천 #제주겨울 #제주서귀포카페 #제주카페추천 #남원리카페 #동백꽃필무렵 #동백꽃 #사진 #셀피 #selfie #daily #dailylook #오오티디 #ootd #fff #l4l #instagood","['jeju', '제주', '제주도민', '일상', '소통', '좋아요', '맞팔', '선팔하면맞팔', '제주여행추천', '제주겨울', '제주서귀포카페', '제주카페추천', '남원리카페', '동백꽃필무렵', '동백꽃', '사진', '셀피', 'selfie', 'daily', 'dailylook', '오오티디', 'ootd', 'fff', 'l4l', 'instagood']",동백포레스트,제주특별자치도 서귀포시 남원읍 신례리 1767,126.63621623625866,33.30034607599768,남원읍
936,https://www.instagram.com/p/CHIBoyEDFrH/,2020-11-03T10:33:28.000Z,___92.12.30,"벌써 11월이라니 가을 인줄 알았는데 오늘은 겨울날씨야;; #그림같은공간 #카페색깔🎨
.
.
.
#jeju #제주 #제주도민 #일상 #소통 #좋아요 #맞팔 #선팔하면맞팔 #제주여행추천 #제주가을 #제주동쪽카페 #제주카페추천 #하도리카페 #분위기좋은카페 #사진 #셀피 #selfie #daily #dailylook #오오티디 #ootd #fff #l4l #instagood","['그림같은공간', '카페색깔', 'jeju', '제주', '제주도민', '일상', '소통', '좋아요', '맞팔', '선팔하면맞팔', '제주여행추천', '제주가을', '제주동쪽카페', '제주카페추천', '하도리카페', '분위기좋은카페', '사진', '셀피', 'selfie', 'daily', 'dailylook', '오오티디', 'ootd', 'fff', 'l4l', 'instagood']",카페색깔,제주특별자치도 제주시 구좌읍 하도리 1462-1,126.886704761855,33.5205184178392,구좌읍
966,https://www.instagram.com/p/CHpW2ZUn-wd/,2020-11-16T09:13:45.000Z,superman_0110,"이호테우해변 하얀말등대에서~ 칭구랑

#이호태우말등대 #환상의섬jejuisland #제주도여행코스 #이호테우해변카페 #국내여행 #감성사진 #대한민국구석구석
#여행지추천 #여행에미치다 #여기가포토존 #맞팔 #선팔 #소통
#소통스타그램 #제주 #제주도 #인팔 #인친","['이호태우말등대', '환상의섬jejuisland', '제주도여행코스', '이호테우해변카페', '국내여행', '감성사진', '대한민국구석구석', '여행지추천', '여행에미치다', '여기가포토존', '맞팔', '선팔', '소통', '소통스타그램', '제주', '제주도', '인팔', '인친']",이호테우해변,제주특별자치도 제주시 이호일동 1665-13,126.452690819027,33.4973768007144,이호1동
972,https://www.instagram.com/p/CILp3c7DgeK/,2020-11-29T16:54:06.000Z,seowoo_oddo,"졸리면 자자,,,z

#제주 #제주애견동반카페 #아기푸들","['제주', '제주애견동반카페', '아기푸들']",앤트러사이트 제주 한림점,제주특별자치도 제주시 한림읍 동명리 1715,126.258149647652,33.4077717708008,한림읍
975,https://www.instagram.com/p/CILohYoHbQJ/,2020-11-29T16:42:21.000Z,cafe_tour._.o,"오온
커피를 좋아해 찾아다니던 카페였는데 우연히 발견한 찻집.
다양한 차 종류와 먹어보지 못했던 이색 차들로 가득한 곳이였다.
커피를 많이 마시는 요즘 차한잔은 힐링되는 느낌이였다 .
친절히 설명해주시고 또란 직접 차를 내려주셔서 재방문 하고 싶은곳이다.
.
.
.
.
#오온 #제주카페 #카페 #카페투어 #아라동카페 #차카페 #제주 #커피 #전통차 #제주살이 #제주도여행 #카페추천 #카페인테리어 #카페탐방 #팔로우 #팔로우환영 #팔로우미 #fff #ff #followｍe #선팔환영 #커피맛집 #선팔맞팔 #카페맞팔 #카페맞팔환영 #제주카페추천 #제주살이 #제주대카페 #사진맛집 #향토카페 #이색카페","['오온', '제주카페', '카페', '카페투어', '아라동카페', '차카페', '제주', '커피', '전통차', '제주살이', '제주도여행', '카페추천', '카페인테리어', '카페탐방', '팔로우', '팔로우환영', '팔로우미', 'fff', 'ff', 'followｍe', '선팔환영', '커피맛집', '선팔맞팔', '카페맞팔', '카페맞팔환영', '제주카페추천', '제주살이', '제주대카페', '사진맛집', '향토카페', '이색카페']",오온,제주특별자치도 제주시 이도이동 1965-15,126.54359451631342,33.49289440708202,이도2동
1000,https://www.instagram.com/p/CHpW2ZUn-wd/,2020-11-16T09:13:45.000Z,superman_0110,"이호테우해변 하얀말등대에서~ 칭구랑

#이호태우말등대 #환상의섬jejuisland #제주도여행코스 #이호테우해변카페 #국내여행 #감성사진 #대한민국구석구석
#여행지추천 #여행에미치다 #여기가포토존 #맞팔 #선팔 #소통
#소통스타그램 #제주 #제주도 #인팔 #인친","['이호태우말등대', '환상의섬jejuisland', '제주도여행코스', '이호테우해변카페', '국내여행', '감성사진', '대한민국구석구석', '여행지추천', '여행에미치다', '여기가포토존', '맞팔', '선팔', '소통', '소통스타그램', '제주', '제주도', '인팔', '인친']",이호테우해변,제주특별자치도 제주시 이호일동 1665-13,126.452690819027,33.4973768007144,이호1동
1025,https://www.instagram.com/p/CHpW2ZUn-wd/,2020-11-16T09:13:45.000Z,superman_0110,"이호테우해변 하얀말등대에서~ 칭구랑

#이호태우말등대 #환상의섬jejuisland #제주도여행코스 #이호테우해변카페 #국내여행 #감성사진 #대한민국구석구석
#여행지추천 #여행에미치다 #여기가포토존 #맞팔 #선팔 #소통
#소통스타그램 #제주 #제주도 #인팔 #인친","['이호태우말등대', '환상의섬jejuisland', '제주도여행코스', '이호테우해변카페', '국내여행', '감성사진', '대한민국구석구석', '여행지추천', '여행에미치다', '여기가포토존', '맞팔', '선팔', '소통', '소통스타그램', '제주', '제주도', '인팔', '인친']",이호테우해변,제주특별자치도 제주시 이호일동 1665-13,126.452690819027,33.4973768007144,이호1동
1065,https://www.instagram.com/p/CHpW2ZUn-wd/,2020-11-16T09:13:45.000Z,superman_0110,"이호테우해변 하얀말등대에서~ 칭구랑

#이호태우말등대 #환상의섬jejuisland #제주도여행코스 #이호테우해변카페 #국내여행 #감성사진 #대한민국구석구석
#여행지추천 #여행에미치다 #여기가포토존 #맞팔 #선팔 #소통
#소통스타그램 #제주 #제주도 #인팔 #인친","['이호태우말등대', '환상의섬jejuisland', '제주도여행코스', '이호테우해변카페', '국내여행', '감성사진', '대한민국구석구석', '여행지추천', '여행에미치다', '여기가포토존', '맞팔', '선팔', '소통', '소통스타그램', '제주', '제주도', '인팔', '인친']",이호테우해변,제주특별자치도 제주시 이호일동 1665-13,126.452690819027,33.4973768007144,이호1동
1093,https://www.instagram.com/p/CIMR64AhPeR/,2020-11-29T22:44:06.000Z,jandi_visiting,"#잔디공장방문자 가 되어 주셔서 감사합니다🌱
#제주도 #성산카페 #잔디공장
.
✅서귀포시 성산읍 일주동로5154번길 5
✅OPEN 11:00 ~ 19:00
✅YES 애견동반가능한집 🐶 YES 키드존 👶🏻
.
🌱메뉴선택 실패1도 없는 맛있는 카페 🌱 #jmt
🤩잔디우유 6.5
😋잔디스무디 8.5
😝새콤하다에이드 6.5
🥰잔디잼토스트 4.5
.
‼️표선에서 성산가는 길 성산에서 표선가는 길
🚗🚕🚙🚌🚎 🚗🏎🛴🚚🚒🚛🚛
.
#제주 #서귀포 #카페 #식물카페 #서귀포카페
#성산일출봉 #섭지코지 #광치기해변 #우도 #제주도 #성산맛집 #표선맛집 #하도리맛집 #중문맛집 #성산일출봉맛집 #빛의벙커 #신산리카페 #신산리 #신산리맛집","['잔디공장방문자', '제주도', '성산카페', '잔디공장', 'jmt', '제주', '서귀포', '카페', '식물카페', '서귀포카페', '성산일출봉', '섭지코지', '광치기해변', '우도', '제주도', '성산맛집', '표선맛집', '하도리맛집', '중문맛집', '성산일출봉맛집', '빛의벙커', '신산리카페', '신산리', '신산리맛집']",잔디공장,제주특별자치도 서귀포시 성산읍 신산리 1073-9,126.873289850307,33.3774305792331,성산읍
1096,https://www.instagram.com/p/CIMQru3DjMe/,2020-11-29T22:33:17.000Z,wimi433,"귤잼넣은 대만샌드위치.

부드러운 식빵사이에 햄치즈계란을 넣어 달달꼬운 대만샌드위치를 만들어봤어요

연유와 버터로 만든 스프레드대신 귤잼을 발라봤는데, 가족들 반응이 참 좋았어요

딸기쨈은 넘 달아서 별로 안좋아하는 신랑도 귤잼은 새콤해서 이게 더 좋대요.

담엔 좀 얇은빵으로 해봐야겠어요. 빵이 넘두꺼우니 입이 찢어질듯 ㅎ

#귤 #귤잼 #귤샌드위치 #귤잼샌드위치
#잼샌드위치 #대만샌드위치 #아침식단
#제주 #서귀포 #위미 #위미감귤 #서귀포감귤
#위미433귤밭 #위미433귤청잼
#홈카페 #카페스타그램 #소확행 #아침메뉴","['귤', '귤잼', '귤샌드위치', '귤잼샌드위치', '잼샌드위치', '대만샌드위치', '아침식단', '제주', '서귀포', '위미', '위미감귤', '서귀포감귤', '위미433귤밭', '위미433귤청잼', '홈카페', '카페스타그램', '소확행', '아침메뉴']",서귀포 위미리,제주특별자치도 서귀포시 남원읍 남원리 91-6,126.66743988738492,33.27078076230098,남원읍
1097,https://www.instagram.com/p/CIMQgNvB4La/,2020-11-29T22:31:43.000Z,jandi_visiting,"#성산카페#잔디공장 #잔디우유
.
✅서귀포시 성산읍 일주동로5154번길 5
✅OPEN 11:00~19:00
✅YES 애견동반가능한집
✅YES 키드존 👶🏻
.
🌱메뉴선택 실패1도 없는 맛있는 카페 🌱 #jmt
-잔디우유
-잔디라떼
-잔디스무디
-새콤하다에이드
-잔디잼토스트
.
‼️표선에서 성산가는 길 성산에서 표선가는 길
.
#제주 #서귀포 #카페 #식물카페 #제주도여행 #제주살이 #제주도게스트하우스 #한담해변 #협재해수욕장 #제주도핫플 #성산맛집 #서귀포맛집 #애월맛집 #한담맛집 #곽지맛집 #협재맛집 #한림맛집 #대정맛집 #협재카페 #애월카페","['성산카페', '잔디공장', '잔디우유', 'jmt', '제주', '서귀포', '카페', '식물카페', '제주도여행', '제주살이', '제주도게스트하우스', '한담해변', '협재해수욕장', '제주도핫플', '성산맛집', '서귀포맛집', '애월맛집', '한담맛집', '곽지맛집', '협재맛집', '한림맛집', '대정맛집', '협재카페', '애월카페']",잔디공장,제주특별자치도 서귀포시 성산읍 신산리 1073-9,126.873289850307,33.3774305792331,성산읍
