code,dong,폐지여부
5011010100,일도일동,존재
5011010200,일도이동,존재
5011010300,이도일동,존재
5011010400,이도이동,존재
5011010500,삼도일동,존재
5011010600,삼도이동,존재
5011010700,건입동,존재
5011010800,용담일동,존재
5011010900,용담이동,존재
5011011000,용담삼동,존재
5011011100,화북일동,존재
5011011200,화북이동,존재
5011011300,삼양일동,존재
5011011400,삼양이동,존재
5011011500,삼양삼동,존재
5011011600,봉개동,존재
5011011700,아라일동,존재
5011011800,아라이동,존재
5011011900,오라일동,존재
5011012000,오라이동,존재
5011012100,오라삼동,존재
5011012200,노형동,존재
5011012300,외도일동,존재
5011012400,외도이동,존재
5011012500,이호일동,존재
5011012600,이호이동,존재
5011012700,도두일동,존재
5011012800,도두이동,존재
5011012900,도남동,존재
5011013000,도련일동,존재
5011013100,도련이동,존재
5011013200,용강동,존재
5011013300,회천동,존재
5011013400,오등동,존재
5011013500,월평동,존재
5011013600,영평동,존재
5011013700,연동,존재
5011013800,도평동,존재
5011013900,해안동,존재
5011014000,내도동,존재
5011025000,한림읍,존재
5011025300,애월읍,존재
5011025600,구좌읍,존재
5011025900,조천읍,존재
5011031000,한경면,존재
5011032000,추자면,존재
5011033000,우도면,존재
5013010100,서귀동,존재
5013010200,법환동,존재
5013010300,서호동,존재
5013010400,호근동,존재
5013010500,동홍동,존재
5013010600,서홍동,존재
5013010700,상효동,존재
5013010800,하효동,존재
5013010900,신효동,존재
5013011000,보목동,존재
5013011100,토평동,존재
5013011200,중문동,존재
5013011300,회수동,존재
5013011400,대포동,존재
5013011500,월평동,존재
5013011600,강정동,존재
5013011700,도순동,존재
5013011800,하원동,존재
5013011900,색달동,존재
5013012000,상예동,존재
5013012100,하예동,존재
5013012200,영남동,존재
5013025000,대정읍,존재
5013025300,남원읍,존재
5013025900,성산읍,존재
5013031000,안덕면,존재
5013032000,표선면,존재